Timestamp,EAR
25:41.1,0.158461264
25:42.3,0.144207439
25:42.3,0.18780626
25:42.4,0.170160241
25:42.4,0.189956916
25:42.4,0.217770383
25:42.5,0.257477325
25:42.5,0.276115738
25:42.5,0.272558049
25:42.6,0.262434928
25:42.6,0.166164597
25:42.6,0.159037759
25:42.7,0.159584457
25:42.7,0.196662742
25:42.7,0.213030934
25:42.8,0.236191435
25:42.8,0.223760951
25:42.8,0.249277033
25:42.9,0.263675049
25:42.9,0.277563938
25:42.9,0.278937092
25:43.0,0.237981315
25:43.0,0.264278919
25:43.0,0.270072132
25:43.1,0.282036791
25:43.1,0.284502665
25:43.1,0.286797543
25:43.2,0.264095253
25:43.2,0.236660241
25:43.2,0.277418627
25:43.3,0.265678129
25:43.3,0.262434928
25:43.3,0.257634827
25:43.4,0.252256632
25:43.4,0.256204627
25:43.4,0.275933874
25:43.5,0.243257375
25:43.5,0.224992613
25:43.5,0.264855747
25:43.6,0.263482593
25:43.6,0.249818135
25:43.6,0.236514749
25:43.7,0.237291809
25:43.7,0.256932424
25:43.7,0.265069587
25:43.8,0.244188837
25:43.8,0.263482593
25:43.8,0.231887024
25:43.9,0.22205115
25:43.9,0.245904639
25:43.9,0.22205115
25:44.0,0.222222222
25:44.0,0.25839899
25:44.1,0.244967175
25:44.1,0.252756782
25:44.1,0.223684211
25:44.2,0.238298238
25:44.2,0.270285972
25:44.2,0.251137409
25:44.3,0.249818135
25:44.3,0.245796206
25:44.3,0.2662289
25:44.4,0.264277118
25:44.4,0.25113921
25:44.4,0.225140343
25:44.5,0.237979515
25:44.5,0.263548793
25:44.5,0.23106826
25:44.6,0.239433409
25:44.6,0.239598888
25:44.7,0.236119139
25:44.7,0.226757915
25:44.7,0.249379649
25:44.8,0.225140343
25:44.8,0.252440298
25:44.8,0.232379374
25:44.9,0.229361092
25:44.9,0.278525794
25:44.9,0.249836322
25:45.0,0.251137409
25:45.0,0.249836322
25:45.0,0.265033546
25:45.1,0.25113921
25:45.1,0.227632738
25:45.2,0.265580006
25:45.2,0.259822622
25:45.2,0.258872571
25:45.3,0.272930038
25:45.3,0.265580006
25:45.3,0.271843107
25:45.4,0.249836322
25:45.4,0.198327763
25:45.4,0.151838791
25:45.5,0.140326331
25:45.5,0.142737248
25:45.5,0.199378953
25:45.6,0.216057705
25:45.6,0.217764873
25:45.6,0.217764873
25:45.7,0.23106826
25:45.7,0.236678427
25:45.7,0.245130853
25:45.8,0.251619811
25:45.8,0.276315789
25:45.8,0.243101417
25:45.8,0.25
25:45.9,0.264277118
25:45.9,0.258106883
25:45.9,0.251437946
25:46.0,0.265580006
25:46.0,0.257096102
25:46.0,0.26297603
25:46.1,0.262794166
25:46.1,0.257096102
25:46.1,0.27162715
25:46.2,0.285550132
25:46.2,0.251453894
25:46.2,0.26697396
25:46.3,0.258106883
25:46.3,0.251437946
25:46.3,0.258106883
25:46.4,0.289273633
25:46.4,0.263157895
25:46.4,0.276315789
25:46.5,0.264277118
25:46.5,0.289473684
25:46.5,0.237961328
25:46.6,0.249818135
25:46.6,0.276133925
25:46.6,0.26297603
25:46.7,0.264246875
25:46.7,0.276133925
25:46.7,0.238280052
25:46.7,0.264095253
25:46.8,0.264278919
25:46.8,0.264095253
25:46.9,0.284785045
25:46.9,0.270253996
25:46.9,0.260198277
25:46.9,0.277222906
25:47.0,0.264278919
25:47.0,0.2787361
25:47.0,0.264278919
25:47.1,0.262794166
25:47.1,0.264277118
25:47.2,0.264277118
25:47.2,0.277416826
25:47.2,0.249818135
25:47.3,0.26297603
25:47.3,0.26297603
25:47.3,0.278719714
25:47.4,0.275933874
25:47.4,0.265580006
25:47.4,0.272063567
25:47.5,0.276315789
25:47.5,0.268897083
25:47.5,0.278721515
25:47.6,0.264095253
25:47.6,0.251081786
25:47.6,0.252160484
25:47.7,0.27221233
25:47.7,0.276133925
25:47.7,0.258962078
25:47.8,0.264460783
25:47.8,0.277203214
25:47.8,0.277618678
25:47.9,0.271704509
25:47.9,0.237815837
25:47.9,0.145788932
25:48.0,0.141094154
25:48.0,0.159475338
25:48.0,0.198713196
25:48.1,0.250955545
25:48.1,0.237815837
25:48.1,0.231995118
25:48.2,0.263157895
25:48.2,0.249818135
25:48.2,0.289473684
25:48.3,0.276315789
25:48.3,0.269536791
25:48.4,0.264777706
